date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment,merge_key
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,9.0,11,11.0,20.75,3.5,fetching flyer,3,F,132,,2:45.80,165.80,126.0,P Mxoli,P F Matchett,,–,–,The United States (IRE),Frequent Flyer (SAF),Silvano,B S Tobias D G Lupke G Bartlett,,turffontein (saf)_fetching flyer_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,1.0,1,4.0,0,0,main defender,4,G,132,,1:26.72,86.72,2.5,Gavin Lerena,Tony Peter,13258.38,–,–,Pathfork (USA),Alessia (SAF),Judpot,J J Habib G Nassif Et Al,,turffontein (saf)_main defender_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,7.0,2,8.0,.5,.5,cosmic speed,3,G,126,,1:26.82,86.82,2.65,R Fourie,S G Tarry,4242.68,–,–,Querari (GER),Cosmic Dream (SAF),Silvano,Mrs H Kuhn Krishen Naidoo The Hon Justice G N Kruger,,turffontein (saf)_cosmic speed_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,3.0,3,6.0,3.5,3,texas red,5,G,128,,1:27.42,87.42,21.0,K Matsunyane,Robyn Klaasen,2121.34,–,–,The United States (IRE),True Asset (SAF),Lundys Liability,Nu Atlas Racing,,turffontein (saf)_texas red_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,5.0,4,1.0,4.25,.75,fire n flames,4,G,128,t,1:27.57,87.57,101.0,Serino Moodley,Kobus Roux,1060.67,–,–,Fire Away (USA),Silvan Jazz (SAF),Silvano,W G De Koker Isabella Lombard,,turffontein (saf)_fire n flames_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,2.0,5,7.0,5.75,1.5,barbaresco,4,G,128,,1:27.87,87.87,9.0,Smanga Khumalo,Johan Janse Van Vuuren,530.34,–,–,Gimmethegreenlight (AUS),Negroamaro (SAF),Fort Wood,R M Sewgoolam J F L M F Wernars,,turffontein (saf)_barbaresco_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,8.0,6,3.0,6,0.3,busstopinhounslow,3,G,121,p,1:27.92,87.92,41.0,Ryan Munger,Grant Maroun,,–,–,New Predator (AUS),Penny Serenade (SAF),Silvano,Hollywood Racing,,turffontein (saf)_busstopinhounslow_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,9.0,7,2.0,6.25,0.1,gimmefabulous,3,F,116,h,1:27.99,87.99,17.0,Juan Paul VD Merwe,M G Azzie & A A Azzie,,–,–,Gimmethegreenlight (AUS),Being Fabulous (AUS),High Chaparral,J F L M F Wernars Mrs T J Wernars,,turffontein (saf)_gimmefabulous_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,6.0,8,9.0,16.75,10.5,slinky mapimpi,5,G,128,t,1:30.07,90.07,101.0,R Danielson,P & J Vermeulen,,–,–,Coup De Grace (USA),Skyblade (SAF),Jet Master,Mrs J M Vermeulen,,turffontein (saf)_slinky mapimpi_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),3:25,TAB Hawaii Stakes  (3yo+) (Turf),Flat,,Grade 2,,3yo+,,7f,7f,1400.0,Good,9,4.0,9,5.0,21,4.25,gimmeanotherchance,4,G,128,b,1:30.92,90.92,17.0,Craig Zackey,M F & M De Kock,,–,–,Gimmethegreenlight (AUS),Final Judgement (SAF),Judpot,Khaya Stables Pty Ltd,,turffontein (saf)_gimmeanotherchance_2025-03-29_3:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,7.0,1,7.0,0,0,fatal flaw,3,F,126,,1:41.23,101.23,3.25,Gavin Lerena,B & J Crawford,26516.76,–,–,New Predator (AUS),Alinga (AUS),Rock Of Gibraltar,Assm Racing Syndicate,,turffontein (saf)_fatal flaw_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,5.0,2,5.0,1.25,1.25,spumante dolce,3,F,126,t,1:41.48,101.48,3.8,R Danielson,M F & M De Kock,8485.36,–,–,Vercingetorix (SAF),Espumanti GB,Dansili,Wilgerbosdrift Pty Ltd B C Ralph,,turffontein (saf)_spumante dolce_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,2.0,3,2.0,2.75,1.5,white pearl,4,F,132,,1:41.78,101.78,9.0,P Strydom,M F & M De Kock,4242.68,–,–,Danon Platina (JPN),Oyster Pond (SAF),Tiger Ridge,Assm Racing Syndicate,,turffontein (saf)_white pearl_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,3.0,4,6.0,4,1.25,lets go now,4,F,132,tb,1:42.03,102.03,21.0,Craig Zackey,S G Tarry,2121.34,–,–,Gimmethegreenlight (AUS),Star Express (SAF),Silvano,Kestorm Investments,,turffontein (saf)_lets go now_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,1.0,5,1.0,4.25,0.3,beating wings,4,F,132,,1:42.08,102.08,7.0,R Fourie,S T Pettigrew,1060.67,–,–,Rafeef (AUS),Cool River (SAF),Western Winter,D Chinsammy S Govender Et Al,,turffontein (saf)_beating wings_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,4.0,6,3.0,9.75,5.5,lady fallon,4,F,132,,1:43.18,103.18,26.0,Smanga Khumalo,Lucky Houdalakis,,–,–,Act Of War (SAF),Chartreuse (SAF),Gimmethegreenlight,D Shawe,,turffontein (saf)_lady fallon_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),12:25,TAB Empress Club Stakes  (3yo+ Fillies & Mares) (Turf),Flat,,Grade 1,,3yo+,F & M,1m,8f,1600.0,Good,7,6.0,7,4.0,22.5,12.75,vjs angel,3,F,126,,1:45.73,105.73,5.5,Calvin Habib,Tony Peter,,–,–,Gimmethegreenlight (AUS),Tally-Ho (SAF),Oratorio,G G Palmer Mrs D Palmer,,turffontein (saf)_vjs angel_2025-03-29_12:25
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,1.0,1,9.0,0,0,william robertson,6,G,132,hb,0:57.85,57.85,1.76,Ryan Munger,C Spies,26516.76,–,–,Rafeef (AUS),Massachusetts (SAF),Trippi,Corne Spies Racing Pty Ltd Waste Glass Recovery Pl Et Al,,turffontein (saf)_william robertson_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,6.0,2,6.0,0.3,0.3,golden sickle,4,F,127,,0:57.91,57.91,9.0,Gavin Lerena,Tony Peter,8485.36,–,–,Vercingetorix (SAF),Victorian Secret (SAF),Captain Al,Mrs S Viljoen,,turffontein (saf)_golden sickle_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,11.0,3,8.0,.5,0.3,winds of change,3,C,127,t,0:57.95,57.95,26.0,Juan Paul VD Merwe,M G Azzie & A A Azzie,4242.68,–,–,What A Winter (SAF),My Sanctuary (SAF),Antonius Pius,Yagan Nair Trevelen Pillay Et Al,,turffontein (saf)_winds of change_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,4.0,4,10.0,1.75,1.25,cruise control,5,G,132,h,0:58.20,58.20,21.0,Craig Zackey,G D Smith,2121.34,–,–,Querari (GER),Eurythmics (SAF),Sail From Seattle,Hollywood Racing,,turffontein (saf)_cruise control_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,2.0,5,2.0,2,0.1,lucky lad,4,C,132,tb,0:58.27,58.27,7.0,R Fourie,S G Tarry,1060.67,–,–,Gimmethegreenlight (AUS),Imperial State (SAF),Caesour,A R Mrs A B L Beck,,turffontein (saf)_lucky lad_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,3.0,6,5.0,2.5,.5,melech,5,G,132,tb,0:58.35,58.35,21.0,M Yeni,R R Magner,,–,–,William Longsword (SAF),Pippi (SAF),Greys Inn,J E Finlayson,,turffontein (saf)_melech_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,10.0,7,3.0,2.75,0.3,time fo orchids,5,M,127,b,0:58.40,58.40,101.0,Serino Moodley,Johan Janse Van Vuuren,,–,–,Time Thief (AUS),Amber Orchid (AUS),Dubawi,R M Sewgoolam,,turffontein (saf)_time fo orchids_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,8.0,8,4.0,2.75,0.1,pistol pete,3,C,127,,0:58.42,58.42,17.0,Calvin Habib,Tony Peter,,–,–,Buffalo Bill Cody (IRE),Oklahoma Sky (SAF),Tiger Ridge,Mrs S Viljoen,,turffontein (saf)_pistol pete_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,7.0,9,12.0,4.75,2,chocolate soldier,3,G,127,h,0:58.80,58.80,26.0,K Matsunyane,C Spies,,–,–,One World (SAF),Secret Star (SAF),Pathfork,R P Macnab I D Berg Et Al,,turffontein (saf)_chocolate soldier_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,9.0,10,1.0,8.75,4,taxi to the moon,3,C,127,,0:59.60,59.60,41.0,A Fortune,Tony Peter,,–,–,Vercingetorix (SAF),Earn A Moon (SAF),Indigo Magic,Kestorm Investments,,turffontein (saf)_taxi to the moon_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,12.0,11,7.0,13,4.25,no filter,4,F,127,,1:0.45,60.45,101.0,Diego De Gouveia,T Prinsloo,,–,–,Canford Cliffs (IRE),Hashtag Strat (SAF),Great Britain,Z Kirsten,,turffontein (saf)_no filter_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:00,TAB Computaform Sprint  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,5f,5f,1000.0,Good,12,5.0,12,11.0,18,5,mover and shaker,5,G,132,,1:1.45,61.45,51.0,Smanga Khumalo,Fabian Habib,,–,–,Rafeef (AUS),B Twenty One (SAF),Silvano,J Nassif G J Nassif Et Al,,turffontein (saf)_mover and shaker_2025-03-29_1:00
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,10.0,1,9.0,0,0,fire attack,3,C,122,,2:8.28,128.28,2.3,R Fourie,A G Laird,50912.18,–,–,Fire Away (USA),Bonnie Beers (SAF),Mambo In Seattle,G A Basel G C Cornwall Et Al,,turffontein (saf)_fire attack_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,1.0,2,8.0,0.3,0.3,royal victory,5,G,132,,2:8.34,128.34,6.0,M Yeni,N Kotzen,16970.73,–,–,Pathfork (USA),Kailani (SAF),Kahal,P J Victor Late B J Wiese Et Al,,turffontein (saf)_royal victory_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,2.0,3,6.0,2.25,2,purple pitcher,4,C,132,b,2:8.73,128.73,7.0,K Matsunyane,Robyn Klaasen,8485.36,–,–,New Predator (AUS),Heliantha (SAF),Count Dubois,S S Pooe,,turffontein (saf)_purple pitcher_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,3.0,4,7.0,2.5,0.3,atticus finch,5,G,132,t,2:8.78,128.78,9.5,Calvin Habib,A G Laird,4242.68,–,–,Master Of My Fate (SAF),Alexia (SAF),Caesour,L Clark G A Basel Et Al,,turffontein (saf)_atticus finch_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,9.0,5,2.0,11.25,8.75,none other,5,M,127,,2:10.53,130.53,26.0,Craig Zackey,Lucky Houdalakis,2121.34,–,–,Flower Alley (USA),One Of A Kind (SAF),Dynasty,Wilgerbosdrift Pty Ltd,,turffontein (saf)_none other_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,5.0,6,4.0,11.75,.5,imilenzeyokududuma,6,G,132,tb,2:10.63,130.63,15.0,Ryan Munger,Gareth Van Zyl,1060.67,–,–,Dynasty (SAF),Chevauchee (AUS),High Chaparral,Hollywood Racing,,turffontein (saf)_imilenzeyokududuma_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,11.0,7,3.0,15.25,3.5,chestnut bomber,3,G,122,,2:11.33,131.33,34.0,Smanga Khumalo,Johan Janse Van Vuuren,636.40,–,–,Lancaster Bomber (USA),Chestnuts N Pearls (SAF),Horse Chestnut,J F L M F Wernars R M Sewgoolam,,turffontein (saf)_chestnut bomber_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,7.0,8,1.0,18,2.75,navajo nation,4,G,132,t,2:11.88,131.88,67.0,K J Lihaba,W H Marwing,424.27,–,–,The United States (IRE),Teepee (SAF),Ashaawes,Q H A Koekemoer,,turffontein (saf)_navajo nation_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),1:35,HKJC World Pool Premiers Champions Challenge  (3yo+) (Turf),Flat,,Grade 1,,3yo+,,1m2f,10f,2000.0,Good,9,4.0,9,5.0,48,30,son of raj,5,G,132,b,2:17.88,137.88,9.0,Gavin Lerena,Tony Peter,,–,–,Duke Of Marmalade (IRE),Freudiana (SAF),Black Minnaloushe,Steven Chetty,,turffontein (saf)_son of raj_2025-03-29_1:35
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,2.0,1,12.0,0,0,legend of arthur,3,C,132,h,2:39.61,159.61,5.0,R Fourie,S G Tarry,33145.95,–,–,Lancaster Bomber (USA),Grail Maiden (AUS),Galileo,Mrs J P Gardner M A Currie Et Al,,turffontein (saf)_legend of arthur_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,6.0,2,9.0,0.3,0.3,wild intent,3,G,132,,2:39.67,159.67,7.0,Gavin Lerena,Lucky Houdalakis,10606.70,–,–,Gimmethegreenlight (AUS),Wild Ash (AUS),Dylan Thomas,D Shawe,,turffontein (saf)_wild intent_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,10.0,3,11.0,.5,0.3,solar sail,3,G,132,,2:39.71,159.71,67.0,Jarryd Penny,Mark Khan,5303.35,–,–,Querari (GER),Fly Rebecca Fly (SAF),Mambo In Seattle,J A Maroun D Anthony Et Al,,turffontein (saf)_solar sail_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,13.0,4,1.0,4,3.5,olivias way,3,F,127,,2:40.41,160.41,5.0,M Yeni,R R Magner,2651.68,–,–,Pathfork (USA),My Lovely (AUS),War Pass,G R Sadleir,,turffontein (saf)_olivias way_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,3.0,5,6.0,6.75,2.75,grey jet,3,G,132,,2:40.96,160.96,13.5,R A Venniker,W H Marwing,1325.84,–,–,Danon Platina (JPN),Jet Mark (SAF),Jet Master,P T P Dimakogiannis,,turffontein (saf)_grey jet_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,7.0,6,8.0,11.5,4.75,immediate edge,3,C,132,,2:41.91,161.91,4.3,Ryan Munger,M F & M De Kock,,–,–,Vercingetorix (SAF),Anhaar (AUS),Commands,Al Adiyaat South Africa Wilgerbosdrift Pty Ltd Et Al,,turffontein (saf)_immediate edge_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,4.0,7,3.0,15.25,3.75,bacchus,3,G,132,h,2:42.66,162.66,41.0,Craig Zackey,Fabian Habib,,–,–,Master Of My Fate (SAF),Bilateral (SAF),Lateral,Tkp Racing D Chinsammy Et Al,,turffontein (saf)_bacchus_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,12.0,8,5.0,17.5,2.25,count huhtikuu,3,G,132,,2:43.11,163.11,51.0,K Matsunyane,B & J Crawford,,–,–,Royal Mo (USA),Banking April (SAF),Bankable,P Boonzaaier P H M Boonzaaier Stone Hill Stud,,turffontein (saf)_count huhtikuu_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,5.0,9,2.0,18,0.3,dont cry for me,3,G,132,h,2:43.21,163.21,67.0,P Strydom,S G Tarry,,–,–,One World (SAF),Mar Del Sur (SAF),What A Winter,Assm Racing Syndicate,,turffontein (saf)_dont cry for me_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,1.0,10,4.0,20,2,parisian walkway,3,G,132,,2:43.61,163.61,5.5,Calvin Habib,A G Laird,,–,–,Ideal World (USA),Boutique (IRE),Mastercraftsman,G A Basel L Clark W Volschenk,,turffontein (saf)_parisian walkway_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,9.0,11,13.0,50,30,zip code,3,G,132,ht,2:49.61,169.61,126.0,C Maujean,David Nieuwenhuizen,,–,–,Global View (USA),Zundra (SAF),Count Dubois,J M T Fourie Lee Harvey Et Al,,turffontein (saf)_zip code_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,11.0,12,10.0,80,30,casus belli,3,G,132,,2:55.61,175.61,126.0,R Danielson,P F Matchett,,–,–,Act Of War (SAF),Comme-Ci-Comme-Ca (SAF),Visionaire,Adv L L Cortese,,turffontein (saf)_casus belli_2025-03-29_2:15
2025-03-29,SAF,turffontein (saf),2:15,TAB SA Derby  (3yo) (Turf),Flat,,Grade 1,,3yo,,1m4f,12f,2400.0,Good,13,8.0,13,7.0,110,30,towers of gold,3,G,132,,3:1.61,181.61,126.0,P Mxoli,P F Matchett,,–,–,Gimmethegreenlight (AUS),Galaxy Gold (SAF),Global One,M J Kapnias A M Kapnias,,turffontein (saf)_towers of gold_2025-03-29_2:15
